time,reward,temperature:thermostat,temperature:userpref,temperature,load_ahu
2002-07-01 00:20:00+00:00,0.0,22.07366699067768,25.0,27.566233066337972,0.0
2002-07-01 00:30:00+00:00,0.0,22.07942732473191,25.0,27.50977006143246,0.0
2002-07-01 00:40:00+00:00,0.0,22.100000381469727,25.0,27.430825048003637,0.0
2002-07-01 00:50:00+00:00,0.0,22.024578140556514,25.0,27.335775187437733,0.0
2002-07-01 01:00:00+00:00,0.0,22.03445983710415,25.0,27.22772451686233,0.0
2002-07-01 01:10:00+00:00,0.0,22.0,25.0,27.112367099858012,0.0
2002-07-01 01:20:00+00:00,0.0,22.057849078019075,25.0,27.01821288516115,0.0
2002-07-01 01:30:00+00:00,0.0,22.09922193289873,25.0,26.954701727312965,0.0
2002-07-01 01:40:00+00:00,0.0,22.100000381469727,25.0,26.915798904323047,0.0
2002-07-01 01:50:00+00:00,0.0,22.0077293690847,25.0,26.891324739756463,0.0
2002-07-01 02:00:00+00:00,0.0,22.092889424854548,25.0,26.87364982624184,0.0
2002-07-01 02:10:00+00:00,0.0,22.045306473946766,25.0,26.85892564998581,0.0
2002-07-01 02:20:00+00:00,0.0,22.025284900857656,25.0,26.843827343716466,0.0
2002-07-01 02:30:00+00:00,0.0,22.002036072630176,25.0,26.827386523826668,0.0
2002-07-01 02:40:00+00:00,0.0,22.056129843655008,25.0,26.809943799328185,0.0
2002-07-01 02:50:00+00:00,0.0,22.0800351692576,25.0,26.792123977572547,0.0
2002-07-01 03:00:00+00:00,0.0,22.100000381469727,25.0,26.774168387869086,0.0
2002-07-01 03:10:00+00:00,0.0,22.0,25.0,26.75629951854099,0.0
2002-07-01 03:20:00+00:00,0.0,22.0306697346482,25.0,26.73749232157642,0.0
2002-07-01 03:30:00+00:00,0.0,22.100000381469727,25.0,26.717560706748785,0.0
2002-07-01 03:40:00+00:00,0.0,22.100000381469727,25.0,26.696652623451865,0.0
2002-07-01 03:50:00+00:00,0.0,22.00650507905027,25.0,26.675246576718255,0.0
2002-07-01 04:00:00+00:00,0.0,22.041662837798086,25.0,26.65351570843396,0.0
2002-07-01 04:10:00+00:00,0.0,22.07864983281911,25.0,26.63170919185291,0.0
2002-07-01 04:20:00+00:00,0.0,22.066189680166445,25.0,26.610722495078193,0.0
2002-07-01 04:30:00+00:00,0.0,22.010450993112386,25.0,26.590930652655825,0.0
2002-07-01 04:40:00+00:00,0.0,22.071923536246345,25.0,26.572007538262177,0.0
2002-07-01 04:50:00+00:00,0.0,22.038765911371044,25.0,26.553664468136724,0.0
2002-07-01 05:00:00+00:00,0.0,22.032244239069428,25.0,26.5355736585898,0.0
2002-07-01 05:10:00+00:00,0.0,22.100000381469727,25.0,26.517675873305333,0.0
2002-07-01 05:20:00+00:00,0.0,22.021132114675652,25.0,26.499893658387176,0.0
2002-07-01 05:30:00+00:00,0.0,22.01607382170681,25.0,26.48228381123147,0.0
2002-07-01 05:40:00+00:00,0.0,22.010927683077398,25.0,26.464776336857145,0.0
2002-07-01 05:50:00+00:00,0.0,22.100000381469727,25.0,26.447414255964954,0.0
2002-07-01 06:00:00+00:00,0.0,22.044012283788646,25.0,26.430209964534434,0.0
2002-07-01 06:10:00+00:00,0.0,22.0,25.0,26.41305521246148,0.0
2002-07-01 06:20:00+00:00,0.0,22.0,25.0,26.404351003426953,0.0
2002-07-01 06:30:00+00:00,0.0,22.019390978873844,25.0,26.40663527255744,0.0
2002-07-01 06:40:00+00:00,0.0,22.090005523582192,25.0,26.417657558032552,0.0
2002-07-01 06:50:00+00:00,0.0,22.018248270027925,25.0,26.434271035788367,0.0
2002-07-01 07:00:00+00:00,0.0,22.0,25.0,26.45432561048913,0.0
2002-07-01 07:10:00+00:00,-1.5298853650437554e-14,22.070181773103258,25.0,26.4769956733743,0.0
2002-07-01 07:21:00+00:00,-0.4424109353756162,22.048702674345478,25.0,23.194053060259122,0.8848218707507943
2002-07-01 07:31:25.714286+00:00,-0.48707248823570787,22.03929133949495,25.0,22.221752234987918,0.9741449764713883
2002-07-01 07:45:00+00:00,-0.4616180581004341,22.03410388723853,25.0,22.04507632784493,0.9232361162008542
2002-07-01 07:55:00+00:00,-0.47954630858677,22.03421042498701,25.0,22.03237366832662,0.9590926171730776
2002-07-01 08:00:00+00:00,-0.4792538616757121,22.066677845559468,25.0,22.057636701711328,0.9585077233499264
2002-07-01 08:10:00+00:00,-0.47570981482345714,22.035568307421386,25.0,22.036331540075192,0.9514196296458608
2002-07-01 08:25:00+00:00,-0.49944308128470843,22.084412279866058,25.0,22.079561923210584,0.9988861625658813
2002-07-01 08:35:00+00:00,-0.49874628783878594,22.100000381469727,25.0,22.09697163276124,0.9974925756774661
2002-07-01 08:45:00+00:00,-0.5006940454145435,22.012232916528205,25.0,22.01659860162408,1.0013880908230695
2002-07-01 08:50:00+00:00,-0.5008554154840608,22.05120147850407,25.0,22.041781697032516,1.0017108309644396
2002-07-01 09:05:00+00:00,-0.5026869692369261,22.072020525294306,25.0,22.068478300400802,1.005373938470456
2002-07-01 09:15:00+00:00,-0.5039290647251817,22.024645395714003,25.0,22.02610484756982,1.0078581294441538
2002-07-01 09:23:20+00:00,-0.573830833982539,22.08146699451612,25.0,22.077741716175936,1.1476616679650133
2002-07-01 09:33:20+00:00,-0.5818768743445516,22.0,25.0,22.00223952944875,1.1637537486883316
2002-07-01 09:45:00+00:00,-0.5862818528049057,22.000829205099876,25.0,21.999138025739434,1.1725637056096265
