Time,AHU_Power,R1_Temp,R1_Setpiont,R2_Temp,R2_Setpiont,R3_Temp,R3_Setpiont,R4_Temp,R4_Setpiont,R5_Temp,R5_Setpiont,R6_Temp,R6_Setpiont,R7_Temp,R7_Setpiont,R8_Temp,R8_Setpiont
01-Sep-2024 00:00:00,0.0159500002240141,25.2678127288818,25,24.6526298522949,30,22.5974521636963,20,24.3962926864624,22,25.7692642211914,24,24.0363788604736,24,23.3262186050415,23,24.2279977798462,24
01-Sep-2024 00:15:00,0.015906666778028,25.28369140625,25,24.6991443634033,30,22.6742115020752,20,24.4382915496826,22,25.8295364379883,24,24.0493564605713,24,23.3664121627808,23,24.2347545623779,24
01-Sep-2024 00:30:00,0.0159133333712816,25.2882022857666,25,24.7293148040771,30,22.7241439819336,20,24.471474647522,22,25.8769073486328,24,24.0609359741211,24,23.4007091522217,23,24.3113603591919,24
01-Sep-2024 00:45:00,0.0158966669812798,25.3005752563477,25,24.7612533569336,30,22.7807235717773,20,24.5048503875732,22,25.9185466766357,24,24.0654411315918,24,23.4290971755981,23,24.3841733932495,24
01-Sep-2024 01:00:00,0.0158866671224435,25.2862606048584,25,24.7892608642578,30,22.8158416748047,20,24.5308284759521,22,25.9702568054199,24,24.0736713409424,24,23.4583797454834,23,24.4282350540161,24
01-Sep-2024 01:15:00,0.0158633333320419,25.2866535186768,25,24.8146133422852,30,22.8668937683106,20,24.5607833862305,22,26.0047378540039,24,24.0926990509033,24,23.4905481338501,23,24.426586151123,24
01-Sep-2024 01:30:00,0.0157666667054097,25.2755489349365,25,24.8384838104248,30,22.9006252288818,20,24.5863437652588,22,26.0435352325439,24,24.0981597900391,24,23.5177440643311,23,24.4226684570313,24
01-Sep-2024 01:45:00,0.0159766669695576,25.2946853637695,25,24.8662967681885,30,22.952033996582,20,24.6184358596802,22,26.0794696807861,24,24.1032752990723,24,23.5519723892212,23,24.4188251495361,24
01-Sep-2024 02:00:00,0.0158566667698324,25.3272609710693,25,24.8963851928711,30,23.0133495330811,20,24.6506929397583,22,26.1182899475098,24,24.1154136657715,24,23.582426071167,23,24.4310932159424,24
01-Sep-2024 02:15:00,0.0158366666485866,25.3330669403076,25,24.9170837402344,30,23.0481834411621,20,24.6663331985474,22,26.1470470428467,24,24.1208839416504,24,23.6157808303833,23,24.4327421188354,24
01-Sep-2024 02:30:00,0.0159033333882689,25.3200454711914,25,24.9220027923584,30,23.0705718994141,20,24.6902761459351,22,26.1844444274902,24,24.1318702697754,24,23.639949798584,23,24.4346046447754,24
01-Sep-2024 02:45:00,0.0159133337438107,25.3128261566162,25,24.9414310455322,30,23.0991744995117,20,24.7069215774536,22,26.2089042663574,24,24.1317367553711,24,23.6658086776733,23,24.4847316741943,24
01-Sep-2024 03:00:00,0.0160133333876729,25.3159904479981,25,24.9117279052734,30,23.1363735198975,20,24.7321186065674,22,26.2304840087891,24,24.1417427062988,24,23.6890382766724,23,24.566104888916,24
01-Sep-2024 03:15:00,0.0158766667048136,25.3267631530762,25,24.9064311981201,30,23.1739482879639,20,24.7578353881836,22,26.260705947876,24,24.1446800231934,24,23.7120933532715,23,24.6123666763306,24
01-Sep-2024 03:30:00,0.0159633337830504,25.3610095977783,25,24.9367942810059,30,23.2254657745361,20,24.7839698791504,22,26.2923717498779,24,24.1534938812256,24,23.7396574020386,23,24.6321544647217,24
01-Sep-2024 03:45:00,0.0159633335967859,25.3624000549316,25,24.9562969207764,30,23.2631549835205,20,24.8123092651367,22,26.3226051330566,24,24.1595287322998,24,23.7655353546143,23,24.6179294586182,24
01-Sep-2024 04:00:00,0.0159933336079121,25.3395404815674,25,24.9681358337402,30,23.2706489562988,20,24.8283367156982,22,26.3470840454102,24,24.1667366027832,24,23.7904071807861,23,24.6077299118042,24
01-Sep-2024 04:15:00,0.015980000110964,25.3504447937012,25,24.9953384399414,30,23.3238945007324,20,24.8551826477051,22,26.3802070617676,24,24.1811923980713,24,23.8276472091675,23,24.597692489624,24
01-Sep-2024 04:30:00,0.0159333337719242,25.3447265625,25,25.0093364715576,30,23.3460845947266,20,24.8775930404663,22,26.391731262207,24,24.1978225708008,24,23.8656568527222,23,24.5997829437256,24
01-Sep-2024 04:45:00,0.0159866668904821,25.3222198486328,25,25.0115547180176,30,23.3553085327148,20,24.8949823379517,22,26.4176616668701,24,24.2147846221924,24,23.8997707366943,23,24.605580329895,24
01-Sep-2024 05:00:00,0.0158633333941301,25.3240737915039,25,25.0355911254883,30,23.3867626190186,20,24.9155969619751,22,26.4392700195313,24,24.224760055542,24,23.9280996322632,23,24.6208438873291,24
01-Sep-2024 05:15:00,0.015936667068551,25.3351745605469,25,25.0457878112793,30,23.4118614196777,20,24.934814453125,22,26.4536819458008,24,24.2328186035156,24,23.9537668228149,23,24.7116441726685,24
01-Sep-2024 05:30:00,0.015983333500723,25.358434677124,25,25.0648536682129,30,23.4469718933106,20,24.9598255157471,22,26.4738578796387,24,24.2464599609375,24,23.9786405563354,23,24.7738313674927,24
01-Sep-2024 05:45:00,0.0158566668008765,25.3521690368652,25,25.0692844390869,30,23.4647750854492,20,24.9739894866943,22,26.4897117614746,24,24.2502059936523,24,24.0069742202759,23,24.8114356994629,24
01-Sep-2024 06:00:00,0.0159766670937339,25.3367118835449,25,25.0801811218262,30,23.4845905303955,20,24.9943466186523,22,26.5070133209229,24,24.2607707977295,24,24.0283393859863,23,24.790904045105,24
