Time,AHU_Power,R1_Temp,R1_Setpiont,R2_Temp,R2_Setpiont,R3_Temp,R3_Setpiont,R4_Temp,R4_Setpiont,R5_Temp,R5_Setpiont,R6_Temp,R6_Setpiont,R7_Temp,R7_Setpiont,R8_Temp,R8_Setpiont
26-Oct-2024 22:45:00,0.0157878788357431,24.685022354126,24,24.2696037292481,20,21.97119140625,20,23.8360061645508,22,25.5155029296875,24,23.5710582733154,28,23.3545083999634,23,23.6939153671265,22
26-Oct-2024 23:00:00,0.0157968750281725,24.7039623260498,24,24.3243522644043,20,22.0489196777344,20,23.8956155776978,22,25.6000480651856,24,23.6193790435791,28,23.3858737945557,23,23.7951793670654,22
26-Oct-2024 23:15:00,0.0157333334287008,24.7167892456055,24,24.3710403442383,20,22.1361713409424,20,23.9525909423828,22,25.6946716308594,24,23.6636466979981,28,23.4202976226807,23,23.8779268264771,22
26-Oct-2024 23:30:00,0.0158343750226777,24.7352428436279,24,24.4239292144775,20,22.2113571166992,20,24.0045337677002,22,25.7706985473633,24,23.695743560791,28,23.4634342193604,23,23.9471473693848,22
26-Oct-2024 23:45:00,0.0158437499776483,24.7507152557373,24,24.4640655517578,20,22.2862129211426,20,24.0573797225952,22,25.8453273773193,24,23.7450008392334,28,23.5147638320923,23,24.024866104126,22
27-Oct-2024 00:00:00,0.0158437499776483,24.7831192016602,24,24.4924221038818,20,22.3545913696289,20,24.1013526916504,22,25.9156761169434,24,23.7854423522949,28,23.5740766525269,23,24.0599765777588,22
27-Oct-2024 00:15:00,0.0159312502364628,24.7973175048828,24,24.5294551849365,20,22.4273338317871,20,24.1467590332031,22,25.976001739502,24,23.8224258422852,28,23.6052055358887,23,24.0972919464111,22
27-Oct-2024 00:30:00,0.0159133333402375,24.8009548187256,24,24.5311088562012,20,22.4795303344727,20,24.1849117279053,22,26.0420989990234,24,23.8563575744629,28,23.6541242599487,23,24.1870975494385,22
27-Oct-2024 00:45:00,0.0157874999276828,24.8227386474609,24,24.5294532775879,20,22.5343132019043,20,24.2238321304321,22,26.0952816009521,24,23.8843860626221,28,23.7029657363892,23,24.2640066146851,22
27-Oct-2024 01:00:00,0.015696874819696,24.8122844696045,24,24.5433006286621,20,22.5861377716064,20,24.2566204071045,22,26.1427326202393,24,23.9121208190918,28,23.7486400604248,23,24.3151512145996,22
27-Oct-2024 01:15:00,0.0157483869622792,24.8346786499023,24,24.5773487091064,20,22.6418361663818,20,24.292820930481,22,26.1945152282715,24,23.935791015625,28,23.7789659500122,23,24.3157930374146,22
27-Oct-2024 01:30:00,0.0158500000834465,24.8547096252441,24,24.6098594665527,20,22.6892166137695,20,24.3252105712891,22,26.2333641052246,24,23.9502811431885,28,23.8134107589722,23,24.3333930969238,22
27-Oct-2024 01:45:00,0.0158218749566004,24.8617401123047,24,24.6396160125732,20,22.7402896881104,20,24.3588962554932,22,26.2750968933106,24,23.9763984680176,28,23.8544979095459,23,24.3644971847534,22
27-Oct-2024 02:00:00,0.0158129032821425,24.8851718902588,24,24.659158706665,20,22.7882080078125,20,24.3893909454346,22,26.3211669921875,24,24.0006217956543,28,23.8888425827026,23,24.4064588546753,22
27-Oct-2024 02:15:00,0.0158533334421615,24.9085960388184,24,24.679801940918,20,22.8288345336914,20,24.4193019866943,22,26.3571624755859,24,24.0132560729981,28,23.9134120941162,23,24.439510345459,22
27-Oct-2024 02:30:00,0.0158709677597207,24.943489074707,24,24.7115993499756,20,22.8850135803223,20,24.4529361724854,22,26.391731262207,24,24.0277576446533,28,23.948712348938,23,24.4653463363648,22
27-Oct-2024 02:45:00,0.015846666879952,24.9442043304443,24,24.7177886962891,20,22.9249076843262,20,24.4739980697632,22,26.4147796630859,24,24.0556564331055,28,23.9780359268188,23,24.5153903961182,22
27-Oct-2024 03:00:00,0.0158937500673346,24.9357376098633,24,24.7326011657715,20,22.9581890106201,20,24.4964923858643,22,26.452241897583,24,24.0667953491211,28,24.0090551376343,23,24.5927639007568,22
27-Oct-2024 03:15:00,0.0158677421690476,24.954195022583,24,24.7504787445068,20,22.9928550720215,20,24.5289535522461,22,26.4738578796387,24,24.0823211669922,28,24.0404872894287,23,24.6390981674194,22
27-Oct-2024 03:30:00,0.0159258067367538,24.9512214660645,24,24.758918762207,20,23.0239639282227,20,24.5477123260498,22,26.4882717132568,24,24.0891761779785,28,24.0628004074097,23,24.6453466415405,22
27-Oct-2024 03:45:00,0.0158967743477514,24.9631156921387,24,24.7781429290771,20,23.0572071075439,20,24.5732145309448,22,26.514217376709,24,24.1079502105713,28,24.0956649780273,23,24.6335601806641,22
